Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,OF-M,OF-A,OF%,OIS-M,OIS-A,OIS%,OMR-M,OMR-A,OMR%,O3P-M,O3P-A,O3P%
J. McDermott,194859,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. McDowell,210103,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Arreola,202283,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Chuol,218406,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Brown,199195,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Coronado,207422,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
H. Andrews,206647,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Hudgins,196573,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
B. Ward,194136,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Soto,214430,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
A. Hathaway,206801,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Fitzsimmons,191685,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
E. Ursler,198585,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Browning,191962,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
W. Bradshaw,191586,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Yates,196625,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
L. Robinson,204724,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Hoyle,204182,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Ward,202764,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Lauretti,193551,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. O`Neil,191817,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
W. Dooley,192843,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Villa,193502,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. David,192613,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Jenkins,194485,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Barton,197612,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
V. McClain,188001,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. McGee,187735,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Douglas,206888,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
G. Olivarez,199727,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
S. Middleton,197457,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
V. Chance,192440,34,48,0.71,49,104,0.47,77,197,0.39,193,473,0.41,23,26,0.88,41,64,0.64,63,152,0.41,70,209,0.33
M. Denton,198264,6,9,0.67,68,120,0.57,11,24,0.46,8,20,0.40,4,6,0.67,68,121,0.56,13,26,0.50,10,24,0.42
A. Burks,191832,8,15,0.53,190,382,0.50,5,9,0.56,0,1,0.00,14,23,0.61,125,217,0.58,9,23,0.39,6,20,0.30
W. Black,197528,73,108,0.68,15,29,0.52,38,104,0.37,32,101,0.32,28,31,0.90,17,31,0.55,52,120,0.43,58,193,0.30
S. McDuffie,193335,20,22,0.91,17,21,0.81,22,72,0.31,35,109,0.32,28,35,0.80,19,34,0.56,39,95,0.41,68,168,0.40
R. Sowell,199141,9,11,0.82,69,124,0.56,18,40,0.45,11,39,0.28,3,7,0.43,74,129,0.57,22,41,0.54,9,35,0.26
V. Kaczmarek,197480,1,1,1.00,50,99,0.51,10,20,0.50,14,34,0.41,11,15,0.73,85,131,0.65,19,33,0.58,22,57,0.39
R. Humphrey,209108,19,24,0.79,16,27,0.59,18,49,0.37,25,92,0.27,21,28,0.75,19,31,0.61,34,93,0.37,56,155,0.36
O. Beyer,207160,1,1,1.00,26,45,0.58,8,16,0.50,5,28,0.18,4,8,0.50,21,41,0.51,17,33,0.52,19,41,0.46
D. Campbell,195469,1,2,0.50,10,24,0.42,2,4,0.50,3,10,0.30,2,3,0.67,8,20,0.40,5,13,0.38,6,19,0.32
S. Goode,206184,1,1,1.00,2,2,1.00,1,4,0.25,1,6,0.17,2,2,1.00,1,2,0.50,2,3,0.67,0,3,0.00
K. Harkins,206991,0,0,0.00,3,8,0.38,0,0,0.00,0,0,0.00,0,0,0.00,4,7,0.57,0,0,0.00,1,1,1.00
C. Carr,208603,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Buckley,206118,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
D. Curley,195176,9,14,0.64,46,85,0.54,31,69,0.45,39,127,0.31,15,19,0.79,46,75,0.61,28,76,0.37,56,145,0.39
K. Fuller,200465,11,18,0.61,125,242,0.52,24,54,0.44,13,41,0.32,4,8,0.50,98,199,0.49,17,33,0.52,5,30,0.17
E. Troutman,196330,1,1,1.00,83,142,0.58,2,8,0.25,6,17,0.35,1,6,0.17,73,132,0.55,6,18,0.33,3,13,0.23
E. McIntyre,195715,55,64,0.86,21,50,0.42,66,146,0.45,102,244,0.42,11,15,0.73,29,53,0.55,44,100,0.44,66,203,0.33
C. Haskell,205376,48,69,0.70,10,19,0.53,43,140,0.31,36,125,0.29,52,62,0.84,21,32,0.66,49,115,0.43,54,173,0.31
B. DeHart,189407,0,3,0.00,138,227,0.61,7,14,0.50,5,16,0.31,2,8,0.25,102,179,0.57,10,21,0.48,5,15,0.33
J. Cody,196913,9,11,0.82,3,4,0.75,7,20,0.35,8,32,0.25,9,13,0.69,8,10,0.80,12,33,0.36,24,49,0.49
J. Welch,204500,3,3,1.00,11,22,0.50,7,16,0.44,12,25,0.48,3,3,1.00,8,12,0.67,11,24,0.46,8,28,0.29
M. Gooden,199744,18,25,0.72,12,20,0.60,12,32,0.38,18,56,0.32,5,6,0.83,16,18,0.89,16,39,0.41,21,50,0.42
D. Gregory,194691,2,2,1.00,56,95,0.59,40,81,0.49,84,205,0.41,4,8,0.50,56,104,0.54,28,64,0.44,27,60,0.45
C. Howell,197065,2,2,1.00,3,8,0.38,3,13,0.23,1,20,0.05,1,1,1.00,10,12,0.83,8,19,0.42,7,33,0.21
L. Scott,191656,2,2,1.00,0,0,0.00,3,10,0.30,3,10,0.30,3,3,1.00,1,2,0.50,8,13,0.62,4,11,0.36
B. Dunn,199305,1,2,0.50,2,4,0.50,4,5,0.80,4,14,0.29,11,14,0.79,2,2,1.00,1,10,0.10,3,18,0.17
B. Foreman,198752,7,8,0.88,27,52,0.52,14,30,0.47,7,17,0.41,5,6,0.83,24,49,0.49,2,9,0.22,17,29,0.59
J. Burger,198232,4,6,0.67,196,336,0.58,7,23,0.30,9,35,0.26,9,16,0.56,89,185,0.48,19,38,0.50,12,24,0.50
E. Varner,201448,0,0,0.00,7,17,0.41,2,3,0.67,0,0,0.00,0,0,0.00,10,22,0.45,0,1,0.00,0,0,0.00
M. Kennedy,205073,11,17,0.65,15,34,0.44,19,59,0.32,41,145,0.28,14,15,0.93,35,55,0.64,32,89,0.36,50,133,0.38
T. Meyers,204824,11,22,0.50,2,4,0.50,11,26,0.42,5,18,0.28,14,16,0.88,11,17,0.65,16,35,0.46,26,66,0.39
D. Street,196133,42,68,0.62,11,21,0.52,69,144,0.48,57,147,0.39,46,56,0.82,21,30,0.70,55,124,0.44,83,229,0.36
D. Robinson,188046,3,3,1.00,162,268,0.60,11,22,0.50,0,0,0.00,8,13,0.62,75,157,0.48,13,23,0.57,6,22,0.27
K. Stubblefield,199741,17,22,0.77,19,35,0.54,37,72,0.51,89,217,0.41,23,28,0.82,28,43,0.65,47,111,0.42,62,194,0.32
A. Leahy,206247,2,3,0.67,0,0,0.00,4,5,0.80,2,5,0.40,2,3,0.67,2,2,1.00,0,1,0.00,5,13,0.38
D. Vaught,206524,0,0,0.00,12,18,0.67,0,1,0.00,0,1,0.00,2,2,1.00,5,13,0.38,2,2,1.00,0,0,0.00
A. Heaton,194141,4,6,0.67,11,31,0.35,19,48,0.40,64,160,0.40,11,15,0.73,26,44,0.59,30,68,0.44,39,127,0.31
B. McClain,187788,0,1,0.00,270,440,0.61,11,22,0.50,4,22,0.18,9,16,0.56,123,262,0.47,18,30,0.60,6,18,0.33
M. Watson,190071,2,3,0.67,2,4,0.50,2,7,0.29,3,9,0.33,2,2,1.00,1,3,0.33,7,15,0.47,8,24,0.33
G. Sellers,199836,10,13,0.77,38,62,0.61,47,105,0.45,59,166,0.36,25,32,0.78,17,32,0.53,36,100,0.36,50,133,0.38
R. Roberts,200986,1,3,0.33,88,168,0.52,13,31,0.42,5,13,0.38,18,37,0.49,123,230,0.53,4,20,0.20,9,23,0.39
R. Schweitzer,192125,3,5,0.60,130,242,0.54,43,90,0.48,7,24,0.29,17,31,0.55,140,285,0.49,10,23,0.43,10,18,0.56
K. Walters,205435,41,56,0.73,17,41,0.41,34,94,0.36,85,220,0.39,17,17,1.00,22,33,0.67,36,96,0.38,60,200,0.30
D. Denson,196315,19,29,0.66,19,32,0.59,27,68,0.40,77,224,0.34,38,45,0.84,15,21,0.71,53,134,0.40,63,160,0.39
D. Brower,197824,2,3,0.67,86,148,0.58,19,55,0.35,18,64,0.28,13,20,0.65,85,148,0.57,19,47,0.40,22,74,0.30
D. Fry,205934,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00
G. James,194870,3,3,1.00,28,47,0.60,6,21,0.29,10,34,0.29,3,5,0.60,25,52,0.48,22,46,0.48,14,46,0.30
T. McCray,203221,9,13,0.69,7,10,0.70,11,29,0.38,25,60,0.42,6,8,0.75,10,15,0.67,18,55,0.33,34,75,0.45
R. Coffey,202449,1,1,1.00,1,1,1.00,3,6,0.50,1,7,0.14,1,1,1.00,1,1,1.00,1,5,0.20,0,5,0.00
D. Scholz,194229,0,0,0.00,0,0,0.00,1,1,1.00,1,2,0.50,0,0,0.00,0,0,0.00,0,3,0.00,2,4,0.50
R. Vinson,195786,0,0,0.00,1,3,0.33,1,1,1.00,0,0,0.00,0,0,0.00,3,6,0.50,0,0,0.00,0,0,0.00
L. Vance,195124,0,0,0.00,1,1,1.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Yates,199718,7,8,0.88,58,106,0.55,32,80,0.40,56,191,0.29,13,13,1.00,33,57,0.58,47,111,0.42,72,184,0.39
R. Russell,194645,20,36,0.56,189,327,0.58,52,123,0.42,31,102,0.30,23,35,0.66,114,216,0.53,35,73,0.48,34,98,0.35
S. Wylie,196979,1,3,0.33,123,236,0.52,44,93,0.47,18,44,0.41,15,28,0.54,155,280,0.55,21,36,0.58,5,21,0.24
S. Musial,199052,33,48,0.69,20,47,0.43,48,139,0.35,89,260,0.34,26,27,0.96,36,55,0.65,48,111,0.43,89,232,0.38
T. White,199505,30,42,0.71,20,34,0.59,33,89,0.37,39,146,0.27,41,50,0.82,10,14,0.71,55,136,0.40,64,174,0.37
M. Taylor,193727,0,0,0.00,3,8,0.38,1,3,0.33,1,10,0.10,4,4,1.00,3,5,0.60,5,10,0.50,6,23,0.26
Q. Hu,218550,1,1,1.00,46,83,0.55,3,6,0.50,0,1,0.00,10,15,0.67,71,146,0.49,7,15,0.47,6,10,0.60
L. Thomas,207363,4,7,0.57,34,83,0.41,12,28,0.43,5,13,0.38,7,10,0.70,76,133,0.57,11,28,0.39,12,36,0.33
R. Abney,192716,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,0,0.00,1,1,1.00,0,2,0.00,4,4,1.00
C. Araujo,208394,8,12,0.67,17,32,0.53,16,43,0.37,41,99,0.41,10,11,0.91,10,14,0.71,28,63,0.44,46,111,0.41
T. Moses,198576,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00
T. Burton,200261,0,0,0.00,1,3,0.33,1,2,0.50,2,2,1.00,0,0,0.00,2,4,0.50,2,3,0.67,0,1,0.00
B. Woods,206409,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
J. Hicks,196165,29,48,0.60,55,117,0.47,56,117,0.48,91,243,0.37,12,13,0.92,60,90,0.67,50,120,0.42,60,186,0.32
S. Miles,191299,12,15,0.80,66,119,0.55,9,25,0.36,20,54,0.37,5,7,0.71,60,106,0.57,21,48,0.44,20,59,0.34
D. Watt,189180,2,3,0.67,143,251,0.57,5,13,0.38,3,12,0.25,9,14,0.64,161,309,0.52,19,35,0.54,9,28,0.32
F. Gaddis,188877,66,98,0.67,34,49,0.69,71,178,0.40,110,314,0.35,11,11,1.00,22,39,0.56,36,87,0.41,45,184,0.24
A. Sweat,194759,100,122,0.82,16,27,0.59,71,179,0.40,55,170,0.32,38,47,0.81,22,37,0.59,48,122,0.39,72,189,0.38
L. Bolin,191937,1,1,1.00,39,75,0.52,10,28,0.36,10,39,0.26,5,7,0.71,74,117,0.63,21,45,0.47,19,49,0.39
R. Griffin,195256,15,18,0.83,23,36,0.64,13,22,0.59,19,51,0.37,2,2,1.00,8,17,0.47,15,29,0.52,19,44,0.43
L. Kovač,216746,0,0,0.00,28,59,0.47,1,2,0.50,0,0,0.00,2,3,0.67,48,91,0.53,3,8,0.38,1,3,0.33
M. Levesque,197687,23,28,0.82,104,182,0.57,28,67,0.42,1,9,0.11,14,20,0.70,92,173,0.53,22,44,0.50,20,62,0.32
V. Bianchi,193269,5,6,0.83,1,6,0.17,4,14,0.29,8,18,0.44,0,0,0.00,3,3,1.00,4,8,0.50,8,20,0.40
L. Lewis,203830,0,2,0.00,22,41,0.54,0,1,0.00,1,2,0.50,0,1,0.00,34,65,0.52,7,12,0.58,3,9,0.33
B. Grayson,200269,1,1,1.00,2,2,1.00,0,2,0.00,0,0,0.00,0,0,0.00,0,1,0.00,4,5,0.80,1,1,1.00
J. Palmer,199790,0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00
J. Tripp,201859,7,7,1.00,4,4,1.00,8,18,0.44,13,27,0.48,4,4,1.00,6,8,0.75,8,15,0.53,8,28,0.29
O. Rockwell,191145,8,9,0.89,84,156,0.54,51,110,0.46,140,286,0.49,9,14,0.64,17,47,0.36,53,138,0.38,70,234,0.30
A. Flores,204979,0,0,0.00,250,391,0.64,10,24,0.42,0,1,0.00,16,21,0.76,149,274,0.54,15,35,0.43,10,29,0.34
F. Mendenhall,198486,0,1,0.00,201,334,0.60,6,15,0.40,9,29,0.31,13,30,0.43,139,333,0.42,14,35,0.40,7,23,0.30
J. Cantrell,198648,51,57,0.89,34,59,0.58,63,135,0.47,113,308,0.37,10,14,0.71,17,27,0.63,60,139,0.43,80,249,0.32
M. Lombardo,192583,78,124,0.63,17,31,0.55,82,195,0.42,53,145,0.37,30,37,0.81,16,31,0.52,68,152,0.45,100,267,0.37
J. Herrera,193070,0,0,0.00,20,33,0.61,12,25,0.48,21,45,0.47,4,5,0.80,9,14,0.64,9,23,0.39,18,53,0.34
W. Whitney,204093,25,37,0.68,11,25,0.44,32,75,0.43,27,89,0.30,15,19,0.79,10,18,0.56,37,89,0.42,34,130,0.26
T. Schell,202068,2,2,1.00,1,3,0.33,3,7,0.43,2,11,0.18,2,2,1.00,0,0,0.00,4,5,0.80,3,13,0.23
G. Pickard,204132,4,5,0.80,85,128,0.66,11,19,0.58,2,12,0.17,6,13,0.46,101,173,0.58,12,26,0.46,9,23,0.39
D. Bowman,205744,0,0,0.00,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00
P. Olson,199153,9,9,1.00,120,190,0.63,43,111,0.39,16,41,0.39,5,10,0.50,41,74,0.55,46,100,0.46,52,160,0.33
M. Blackman,193680,10,14,0.71,183,376,0.49,19,34,0.56,1,2,0.50,11,23,0.48,161,301,0.53,11,30,0.37,6,26,0.23
H. Grimes,197472,0,0,0.00,41,74,0.55,6,14,0.43,4,9,0.44,16,23,0.70,74,167,0.44,2,11,0.18,4,10,0.40
D. Garnett,198917,34,42,0.81,34,79,0.43,46,128,0.36,133,441,0.30,15,19,0.79,17,23,0.74,65,121,0.54,71,219,0.32
D. Bender,200801,26,46,0.57,13,18,0.72,30,91,0.33,59,143,0.41,29,39,0.74,12,24,0.50,58,137,0.42,75,215,0.35
A. Gallardo,200413,1,1,1.00,16,31,0.52,15,27,0.56,12,36,0.33,1,1,1.00,7,13,0.54,8,25,0.32,10,36,0.28
D. Mantovani,200639,6,10,0.60,2,4,0.50,6,17,0.35,6,29,0.21,15,17,0.88,1,5,0.20,7,25,0.28,9,28,0.32
F. Wisniewski,213170,0,0,0.00,1,5,0.20,4,14,0.29,10,27,0.37,5,5,1.00,0,0,0.00,3,6,0.50,7,20,0.35
C. Buckley,208784,0,0,0.00,109,184,0.59,4,8,0.50,1,3,0.33,8,13,0.62,172,271,0.63,6,14,0.43,6,14,0.43
O. Reese,193465,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,3,3,1.00,0,1,0.00,0,0,0.00
G. Saenz,209165,5,6,0.83,3,8,0.38,11,24,0.46,9,21,0.43,4,4,1.00,2,4,0.50,5,12,0.42,13,27,0.48
T. Hilliard,206869,0,0,0.00,1,3,0.33,0,0,0.00,0,0,0.00,0,0,0.00,3,5,0.60,2,2,1.00,0,1,0.00
R. King,193085,14,15,0.93,52,118,0.44,46,95,0.48,213,513,0.42,13,17,0.76,45,64,0.70,57,126,0.45,76,182,0.42
J. Alvarado,202454,5,5,1.00,85,147,0.58,9,26,0.35,9,26,0.35,15,33,0.45,155,292,0.53,14,33,0.42,8,28,0.29
W. Crawford,197177,5,7,0.71,236,421,0.56,13,34,0.38,13,28,0.46,15,30,0.50,152,319,0.48,9,22,0.41,3,15,0.20
F. Mullan,200540,42,55,0.76,13,27,0.48,34,81,0.42,36,118,0.31,23,29,0.79,28,48,0.58,52,117,0.44,66,188,0.35
O. Moya,193046,55,84,0.65,12,24,0.50,50,115,0.43,76,241,0.32,48,55,0.87,14,21,0.67,47,123,0.38,59,155,0.38
D. Shaffer,203403,1,1,1.00,10,29,0.34,8,13,0.62,0,1,0.00,10,11,0.91,57,108,0.53,3,11,0.27,3,16,0.19
W. Adams,187843,11,12,0.92,8,12,0.67,20,63,0.32,23,81,0.28,15,15,1.00,10,15,0.67,13,49,0.27,27,81,0.33
V. Ellison,203501,1,1,1.00,18,29,0.62,2,8,0.25,2,4,0.50,7,11,0.64,64,112,0.57,5,10,0.50,6,13,0.46
D. Hurst,188699,7,8,0.88,8,13,0.62,14,26,0.54,18,50,0.36,6,6,1.00,1,4,0.25,10,22,0.45,12,40,0.30
J. Christian,204681,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,1,1.00
J. Stephens,201987,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
C. Cochran,197969,7,11,0.64,54,114,0.47,35,81,0.43,68,183,0.37,25,30,0.83,77,114,0.68,43,106,0.41,46,139,0.33
H. Potts,193656,20,27,0.74,172,288,0.60,52,90,0.58,19,45,0.42,18,27,0.67,149,290,0.51,7,19,0.37,9,20,0.45
W. Massey,194560,5,10,0.50,115,235,0.49,1,7,0.14,7,27,0.26,18,25,0.72,180,315,0.57,15,27,0.56,3,16,0.19
M. Cannon,195588,23,32,0.72,47,90,0.52,54,123,0.44,140,366,0.38,18,25,0.72,47,74,0.64,52,118,0.44,65,178,0.37
J. Booker,196847,23,26,0.88,21,33,0.64,41,87,0.47,57,188,0.30,43,51,0.84,20,32,0.62,48,133,0.36,55,184,0.30
V. Wojciechowski,203893,12,13,0.92,19,44,0.43,8,27,0.30,11,38,0.29,16,21,0.76,36,53,0.68,19,40,0.47,30,61,0.49
M. James,197069,0,1,0.00,2,3,0.67,3,5,0.60,3,10,0.30,2,2,1.00,5,5,1.00,2,3,0.67,6,7,0.86
C. Adams,208804,23,26,0.88,11,20,0.55,17,42,0.40,15,49,0.31,9,13,0.69,19,44,0.43,34,92,0.37,28,98,0.29
J. Foster,216674,0,0,0.00,1,1,1.00,0,1,0.00,0,0,0.00,0,0,0.00,1,4,0.25,1,1,1.00,0,0,0.00
F. Nelson,206318,5,6,0.83,3,4,0.75,7,14,0.50,4,14,0.29,1,1,1.00,7,8,0.88,10,18,0.56,18,38,0.47
K. Perdue,206408,0,0,0.00,0,1,0.00,0,0,0.00,0,0,0.00,0,0,0.00,1,2,0.50,3,4,0.75,1,3,0.33
V. Reyna,210946,0,0,0.00,0,1,0.00,3,4,0.75,0,5,0.00,0,0,0.00,2,4,0.50,1,3,0.33,0,4,0.00
O. Daly,200939,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
M. Schmidt,192966,1,1,1.00,12,24,0.50,5,21,0.24,22,59,0.37,8,8,1.00,11,21,0.52,17,51,0.33,25,69,0.36
A. Ramirez,193104,4,4,1.00,79,140,0.56,39,84,0.46,56,171,0.33,20,30,0.67,101,239,0.42,13,24,0.54,12,37,0.32
D. Allen,190716,2,3,0.67,237,408,0.58,3,8,0.38,6,38,0.16,20,33,0.61,140,284,0.49,10,25,0.40,4,14,0.29
L. Graves,192496,52,67,0.78,29,58,0.50,74,136,0.54,115,291,0.40,20,23,0.87,14,23,0.61,42,115,0.37,70,213,0.33
R. Irwin,203159,7,14,0.50,3,5,0.60,10,34,0.29,11,37,0.30,19,23,0.83,4,4,1.00,14,53,0.26,21,53,0.40
G. Stokes,194933,5,7,0.71,8,10,0.80,16,32,0.50,17,51,0.33,1,1,1.00,5,9,0.56,17,31,0.55,20,44,0.45
A. Davis,205677,6,6,1.00,19,31,0.61,21,43,0.49,32,99,0.32,6,8,0.75,16,17,0.94,26,59,0.44,27,83,0.33
B. Carman,199987,2,3,0.67,44,79,0.56,34,79,0.43,50,118,0.42,6,9,0.67,32,61,0.52,22,60,0.37,47,126,0.37
T. Richards,195647,1,1,1.00,52,91,0.57,10,15,0.67,1,4,0.25,7,12,0.58,51,108,0.47,8,10,0.80,1,5,0.20
S. Jones,196528,52,75,0.69,17,32,0.53,59,135,0.44,30,97,0.31,28,39,0.72,12,21,0.57,40,95,0.42,51,187,0.27
D. Garnett,209811,0,0,0.00,2,4,0.50,2,6,0.33,0,0,0.00,1,1,1.00,3,3,1.00,2,3,0.67,1,5,0.20
G. Hathaway,210023,1,2,0.50,1,1,1.00,0,3,0.00,1,6,0.17,2,2,1.00,0,1,0.00,3,8,0.38,2,6,0.33
M. Greene,199851,6,7,0.86,146,290,0.50,18,44,0.41,13,53,0.25,17,27,0.63,179,287,0.62,21,39,0.54,10,29,0.34
E. Sams,194428,1,2,0.50,158,278,0.57,14,31,0.45,7,20,0.35,6,15,0.40,124,270,0.46,10,27,0.37,4,20,0.20
C. Cramer,195237,51,61,0.84,46,68,0.68,55,120,0.46,121,334,0.36,17,22,0.77,20,41,0.49,42,102,0.41,83,206,0.40
K. Glick,200769,44,63,0.70,15,33,0.45,45,123,0.37,83,224,0.37,43,52,0.83,17,28,0.61,50,134,0.37,74,226,0.33
D. Dwyer,205477,2,2,1.00,63,109,0.58,4,13,0.31,7,20,0.35,3,6,0.50,68,142,0.48,6,17,0.35,6,14,0.43
O. Koivogui,212266,4,4,1.00,62,106,0.58,16,43,0.37,25,68,0.37,6,10,0.60,66,126,0.52,34,72,0.47,32,71,0.45
R. McKnight,201653,14,17,0.82,16,21,0.76,15,34,0.44,41,110,0.37,22,26,0.85,12,21,0.57,25,65,0.38,24,85,0.28
L. Wilkes,202329,23,31,0.74,6,13,0.46,12,37,0.32,26,61,0.43,13,16,0.81,14,24,0.58,21,49,0.43,40,118,0.34
C. Langdon,204671,0,0,0.00,0,2,0.00,0,0,0.00,0,0,0.00,0,0,0.00,3,8,0.38,0,0,0.00,0,1,0.00
T. Galvin,210212,0,0,0.00,1,1,1.00,1,3,0.33,2,3,0.67,0,0,0.00,1,1,1.00,1,2,0.50,1,1,1.00
R. Blank,196213,6,17,0.35,103,192,0.54,15,52,0.29,13,47,0.28,8,20,0.40,124,219,0.57,21,43,0.49,24,64,0.38
F. Sexton,190255,2,2,1.00,128,249,0.51,42,71,0.59,35,71,0.49,16,30,0.53,131,267,0.49,12,25,0.48,9,26,0.35
J. Parnell,190940,8,11,0.73,82,131,0.63,36,83,0.43,109,254,0.43,19,32,0.59,42,83,0.51,31,83,0.37,46,143,0.32
C. Graham,195286,5,6,0.83,57,100,0.57,48,97,0.49,76,201,0.38,7,8,0.88,33,63,0.52,48,86,0.56,28,107,0.26
K. Gipson,187847,54,70,0.77,44,71,0.62,76,185,0.41,76,264,0.29,31,41,0.76,18,32,0.56,56,119,0.47,70,212,0.33
W. Pierce,205284,1,2,0.50,57,107,0.53,7,19,0.37,2,6,0.33,8,16,0.50,117,184,0.64,5,14,0.36,13,22,0.59
J. Stone,198721,21,27,0.78,9,24,0.38,31,60,0.52,17,62,0.27,19,20,0.95,17,21,0.81,29,67,0.43,49,112,0.44
B. Burt,199748,6,10,0.60,18,31,0.58,7,25,0.28,17,53,0.32,4,7,0.57,12,16,0.75,22,55,0.40,26,66,0.39
