Player,PlayerID,F-M,F-A,F%,IS-M,IS-A,IS%,MR-M,MR-A,MR%,3P-M,3P-A,3P%,OF-M,OF-A,OF%,OIS-M,OIS-A,OIS%,OMR-M,OMR-A,OMR%,O3P-M,O3P-A,O3P%
C. Temple,190152,11,22,0.50,49,92,0.53,32,74,0.43,61,142,0.43,5,8,0.62,20,42,0.48,32,77,0.42,53,182,0.29
R. Binder,189200,2,2,1.00,180,280,0.64,9,32,0.28,6,16,0.38,13,26,0.50,146,254,0.57,10,16,0.62,7,22,0.32
B. Strong,196862,0,0,0.00,165,299,0.55,20,42,0.48,2,9,0.22,9,18,0.50,115,276,0.42,5,16,0.31,3,16,0.19
M. Spurlock,190065,42,55,0.76,24,45,0.53,42,112,0.38,86,230,0.37,18,22,0.82,11,20,0.55,32,97,0.33,59,197,0.30
C. Foster,195389,39,50,0.78,23,35,0.66,51,130,0.39,53,153,0.35,30,39,0.77,11,22,0.50,53,108,0.49,61,187,0.33
L. Holton,199631,7,9,0.78,18,44,0.41,17,37,0.46,44,99,0.44,4,4,1.00,17,34,0.50,21,64,0.33,37,107,0.35
R. Skidmore,195536,26,28,0.93,11,19,0.58,29,67,0.43,30,79,0.38,24,27,0.89,13,21,0.62,36,85,0.42,65,178,0.37
L. Libby,202145,9,11,0.82,7,9,0.78,9,15,0.60,17,50,0.34,3,5,0.60,3,3,1.00,6,16,0.38,10,43,0.23
C. Porter,196932,1,2,0.50,145,214,0.68,4,15,0.27,0,2,0.00,5,9,0.56,71,175,0.41,10,21,0.48,9,35,0.26
P. Vickers,203069,1,2,0.50,76,137,0.55,8,31,0.26,6,12,0.50,14,18,0.78,78,152,0.51,6,16,0.38,4,10,0.40
P. Benner,194419,19,24,0.79,43,85,0.51,39,94,0.41,50,154,0.32,5,7,0.71,27,47,0.57,44,113,0.39,50,163,0.31
D. Hines,197335,0,1,0.00,162,293,0.55,14,47,0.30,10,31,0.32,11,20,0.55,142,249,0.57,15,39,0.38,12,32,0.38
B. Weston,193097,2,3,0.67,192,319,0.60,12,41,0.29,7,30,0.23,10,25,0.40,129,295,0.44,8,16,0.50,6,14,0.43
C. Perdomo,204759,39,47,0.83,32,54,0.59,42,113,0.37,63,201,0.31,13,16,0.81,25,49,0.51,51,120,0.42,84,206,0.41
M. Hunter,195732,48,67,0.72,17,23,0.74,59,139,0.42,94,245,0.38,35,39,0.90,10,19,0.53,45,106,0.42,63,180,0.35
F. Graham,197197,0,0,0.00,7,10,0.70,2,4,0.50,0,1,0.00,1,1,1.00,9,18,0.50,0,2,0.00,0,1,0.00
L. Owens,198668,0,0,0.00,1,3,0.33,1,3,0.33,5,13,0.38,2,2,1.00,3,4,0.75,4,8,0.50,3,9,0.33
C. Summers,205639,2,2,1.00,89,164,0.54,10,19,0.53,9,23,0.39,3,7,0.43,69,159,0.43,9,22,0.41,12,26,0.46
R. Brockman,200648,31,39,0.79,17,21,0.81,20,52,0.38,36,117,0.31,10,10,1.00,12,17,0.71,24,62,0.39,43,117,0.37
M. Ogden,205698,0,0,0.00,5,12,0.42,1,2,0.50,0,1,0.00,0,2,0.00,7,10,0.70,2,3,0.67,0,0,0.00
C. Serrano,209362,0,1,0.00,7,13,0.54,2,7,0.29,7,24,0.29,2,3,0.67,11,16,0.69,6,15,0.40,8,24,0.33
